experiment_directory,category,total_files,json_files,csv_files,npz_files,log_files
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer0_trainseed625_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer0_trainseed625_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer0_trainseed625_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_step_routing_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_step_routing_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_step_routing_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_step_routing_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_step_routing_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_trainseed0_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_trainseed0_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_trainseed0_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_trainseed0_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_trainseed0_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_trainseed625_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_trainseed625_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_trainseed625_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_trainseed625_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_trainseed625_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_step_routing_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_step_routing_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_step_routing_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_step_routing_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_step_routing_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_trainseed0_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_trainseed0_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_trainseed0_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_trainseed0_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_trainseed0_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_trainseed625_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_trainseed625_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_trainseed625_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_trainseed625_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_trainseed625_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_R50_outer0_exp6_b100_seed0,Task-success evaluation,3,1,0,0,1
