train_seed,outer_seed,eval_seed,success_rate,successes,num_eval,routing,goal_offset,eval_budget,source_summary
42,2,1,68.0,34,50,mpc,50,50,/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_5seed_summary.csv
42,2,2,56.00000000000001,28,50,mpc,50,50,/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_5seed_summary.csv
42,2,3,52.0,26,50,mpc,50,50,/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_5seed_summary.csv
42,2,4,57.99999999999999,29,50,mpc,50,50,/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_5seed_summary.csv
625,0,0,56.00000000000001,28,50,mpc,50,50,/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer0_trainseed625_5seed_summary.csv
625,0,1,66.0,33,50,mpc,50,50,/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer0_trainseed625_5seed_summary.csv
625,0,2,54.0,27,50,mpc,50,50,/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer0_trainseed625_5seed_summary.csv
625,0,3,52.0,26,50,mpc,50,50,/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer0_trainseed625_5seed_summary.csv
625,0,4,60.0,30,50,mpc,50,50,/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer0_trainseed625_5seed_summary.csv
625,1,0,54.0,27,50,mpc,50,50,/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_trainseed625_5seed_summary.csv
625,1,1,68.0,34,50,mpc,50,50,/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_trainseed625_5seed_summary.csv
625,1,2,57.99999999999999,29,50,mpc,50,50,/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_trainseed625_5seed_summary.csv
625,1,3,50.0,25,50,mpc,50,50,/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_trainseed625_5seed_summary.csv
625,1,4,56.00000000000001,28,50,mpc,50,50,/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_trainseed625_5seed_summary.csv
625,2,0,57.99999999999999,29,50,mpc,50,50,/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_trainseed625_5seed_summary.csv
625,2,1,62.0,31,50,mpc,50,50,/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_trainseed625_5seed_summary.csv
625,2,2,57.99999999999999,29,50,mpc,50,50,/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_trainseed625_5seed_summary.csv
625,2,3,48.0,24,50,mpc,50,50,/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_trainseed625_5seed_summary.csv
625,2,4,62.0,31,50,mpc,50,50,/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer2_trainseed625_5seed_summary.csv
