task,num_clusters,partition_seed,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance
cube,4,0,0.7381387370191723,0.004672046039412561,0.8619948827387366,0.6003056463488153
cube,4,1,0.7627358242746579,0.029699860090538665,0.8947016333465432,0.6548606376279076
cube,4,2,0.763470682938997,0.030373438482741336,0.8912948446843988,0.6519684988929544
pusht,4,0,0.5064945489854915,0.035065234503547656,0.8582699246549526,0.5177865007517937
pusht,4,1,0.5205110684205517,0.01149307883138591,0.86332762366402,0.5254831356345308
pusht,4,2,0.5597343964862231,0.006486343809315833,0.8866587224154762,0.559464575616413
reacher,4,0,0.8966796261975277,0.022174339863461717,0.8520915592419543,0.38183776820685744
reacher,4,1,0.9219396476526767,0.014176666073404214,0.8497381928006223,0.369421068350503
reacher,4,2,0.8760571823745402,0.013845991217951608,0.8557522905647529,0.3952935066056605
tworoom,4,0,0.9370704004803397,5.059534194862665e-05,0.9210332593122854,0.693987367858867
tworoom,4,1,0.9397536460681648,0.007869372431704184,0.9249369212601521,0.6966604885913406
tworoom,4,2,0.9364828664914094,0.01693197970333186,0.9293466661999449,0.7044588507646798
