task,bures_mean,jacobian_bures_distance,absolute_error
tworoom,0.7039529692066876,0.7039529692066876,0.0
pusht,0.47074572683254196,0.47074572683254196,0.0
reacher,0.48589617262216217,0.48589617262216217,0.0
cube,0.6279659684759744,0.6279659684759744,0.0
