task,num_clusters,partition_seed,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance,boundary_min_jacobian_bures_distance,boundary_transition_count
tworoom,4,0,0.9370704004803423,5.059534211794422e-05,0.9210332593122853,0.69398736785888,0.46194438341450517,1305.0
tworoom,4,1,0.9397536460681666,0.00786937243153477,0.924936921260152,0.6966604885913423,0.5004593739801896,1265.0
tworoom,4,2,0.9364828664914111,0.01693197970327766,0.9293466661999448,0.7044588507646747,0.48408238335762516,1315.0
pusht,4,0,0.5064945489854957,0.03506523450311801,0.8582699246549527,0.5177865007518176,0.4000769425505186,5716.0
pusht,4,1,0.5205110684205555,0.011493078832107137,0.8633276236640204,0.5254831356345071,0.4131509191300419,5812.0
pusht,4,2,0.5597343964862087,0.006486343809931774,0.886658722415476,0.5594645756164011,0.3884596204651719,6098.0
reacher,4,0,0.8966796261975278,0.022174339863439356,0.8520915592419541,0.3818377682068575,0.7128485041957274,2409.0
reacher,4,1,0.921939647652677,0.01417666607331008,0.8497381928006222,0.3694210683505043,0.5032422227231941,2353.0
reacher,4,2,0.8760571823745403,0.013845991217940013,0.8557522905647529,0.39529350660566404,0.600746559011233,2393.0
cube,4,0,0.7381387370189882,0.0046720460395449455,0.8619948827387361,0.6003056463488,0.5587519609622059,3758.0
cube,4,1,0.7627358242745452,0.029699860091219048,0.8947016333465431,0.6548606376278565,0.6456132819729995,3997.0
cube,4,2,0.7634706829388849,0.030373438483519366,0.891294844684399,0.6519684988928888,0.5850066798830592,3978.0
